"State","lawsRank","grade2019","gunDeathRate"
"California","1","A","7.4500"
"New Jersey","2","A","4.7500"
"Connecticut","3","A-","4.9100"
"New York","4","A-","4.0300"
"Hawaii","5","A-","4.0300"
"Maryland","6","A-","11.6100"
"Massachusetts","7","A-","3.4600"
"Illinois","8","A-","10.7800"
"Rhode Island","9","B+","3.2800"
"Washington","10","B+","10.3200"
"Delaware","11","B","11.5500"
"Pennsylvania","12","C+","12.4700"
"Minnesota","13","C+","7.7900"
"Colorado","14","C+","15.1400"
"Oregon","15","C+","11.6800"
"Nevada","15","C+","17.8400"
"New Mexico","17","C","20.7500"
"Nebraska","18","C","9.0500"
"Iowa","19","C","8.6200"
"Michigan","19","C","12.8200"
"Wisconsin","21","C-","10.1300"
"Florida","22","C-","12.8100"
"Vermont","23","C-","12.6300"
"Ohio","24","D","13.0500"
"North Carolina","24","D","13.2600"
"Virginia","26","D","11.7600"
"Utah","27","D","13.1400"
"Indiana","28","D-","14.7100"
"Tennessee","29","D-","17.8200"
"New Hampshire","30","F","10.6600"
"South Carolina","31","F","17.5100"
"Georgia","32","F","15.7200"
"Louisiana","32","F","21.3100"
"Maine","34","F","10.3200"
"Texas","34","F","12.2200"
"Montana","34","F","17.2700"
"West Virginia","34","F","18.1100"
"Alabama","38","F","21.7000"
"North Dakota","39","F","11.3600"
"Oklahoma","40","F","16.7100"
"Arkansas","40","F","18.9600"
"Alaska","42","F","20.7400"
"Kansas","43","F","14.6500"
"South Dakota","44","F","13.5000"
"Arizona","45","F","15.2900"
"Kentucky","46","F","16.8100"
"Missouri","46","F","21.3400"
"Idaho","48","F","16.6100"
"Wyoming","48","F","21.0900"
"Mississippi","50","F","22.8100"